"Hometown","Gender","GPA","Total.Degree","In.Degree","Out.Degree","Betweenness","Closeness","Component.Membership"
1,1,1.71,0,0,0,0,0,1
1,1,1.87,0,0,0,0,0,2
1,1,1.8,2,1,1,0,0,3
2,0,1.7,1,0,1,0,0,4
1,0,2.89,0,0,0,0,0,5
1,0,3.68,4,2,2,16,0,6
1,1,1.89,5,3,2,2,0,3
3,0,3.3,2,2,0,0,0,7
4,0,2.96,3,1,2,0,0,6
5,1,2.04,1,0,1,0,0,8
1,1,1.58,1,1,0,0,0,9
1,1,1.8,6,4,2,22,0,3
1,0,1.87,5,3,2,0.5,0,3
1,0,2.15,6,2,4,33,0,3
1,0,2.06,5,2,3,0.5,0,3
1,0,1.95,9,4,5,25,0,3
